店名,區域,類型,營業時間,相關連結,地址,韓文地址,圖片連結
漢拿山披薩Bosco Pizza Jeju 리보스코화덕피자,北區,特色小吃,11:00-21:00,https://www.dcard.tw/f/food/p/239884386,南韓 Jeju-si KR특별자치도 제주시 수목원길27,제주 제주시 수목원길 27 리보스코화덕피자 연동점,https://lh3.googleusercontent.com/p/AF1QipPRqFI2vF1COcjqdFaxkTvm4kA66HntPzc1_Eiz=s1360-w1360-h1020
Gogil 고길 제주,北區,黑豬肉,15:00~22:00 每周二公休,https://voniblog.com/gogil-jeju/,濟州市西海岸路 264,제주시 서해안로 264,https://lh3.googleusercontent.com/p/AF1QipNx4gTQj4nku5js2wwTOkdsxg_7VxjjH91ZsP_Z=s1360-w1360-h1020
豚舍豚 Donsadon 돈사돈,北區,黑豬肉,12:30～22:00（每月第二個禮拜二公休）,https://candicecity.com/40035/,济州特别自治道济州市老衡洞 3086-3,제주특별자치도 제주시 우평로 19 (노형동 3086-3),https://lh3.googleusercontent.com/p/AF1QipO85to8pyxoUNruJqJEythpf7VWnSRB6DU3ZM-7=s1360-w1360-h1020
蕩蕩韓國炸雞,新市區,炸雞,下午2:00 – 凌晨3:00,https://nurseilife.cc/tang-tang/,273-35 Yeon-dong Jeju-si Jeju-do,[690-170] 제주 제주시 연동 7길 35 제연빌딩 1층 땅땅치킨（yeondong 7-gil 35號）,https://i0.wp.com/img.nurseilife.cc/2015-04-02-185607-40.jpg?w=640&quality=100&ssl=1
교촌치킨 제주1호점 橋村炸雞濟州,新市區,炸雞,12:00-0:00,https://alina00.com/kyochon-jeju/,濟州特別自治道 濟州市 三無路 50號 1樓(蓮洞),제주특별자치도 제주시 삼무로 50 1층 (연동),https://lh3.googleusercontent.com/p/AF1QipNe62eZm6a1ihqS1lNkx5bOTKM3EitrME-4Qk0f=s1360-w1360-h1020
濟州島鐵道自行車,東區,景點,9:00-17:30,https://candicecity.com/40774/,濟州特別自治道濟州市舊左邑龍臥岳路641號,제주특별자치도 제주시 구좌읍 용눈이오름로 641번지,https://candicecity.com/wp-content/uploads/2019/05/DSC05188.jpg
濟州島水族館,東區,景點,9:30-19:00,https://www.koreagaja.com/aqua-planet_1440/,95 Seopjikoji-ro  Seongsan-eup  Seogwipo-si  Jeju-do  南韓,제주특별자치도 서귀포시 성산읍 섭지코지로 95,https://tongglobalcdn.visitkorea.or.kr/cms/resource/43/2989243_image2_1.jpg
春日 / GD 咖啡廳,西區,咖啡廳,9:00-21:00,https://candicecity.com/40033/,濟州市涯月邑涯月路1街25,제주특별자치도 제주시 애월읍 애월로1길 25,https://candicecity.com/wp-content/uploads/2019/05/DSC04757.jpg
狹才海水浴場,西區,海灘,皆開放,https://candicecity.com/40034/,濟州特別自治道濟州市翰林路,제주특별자치도 제주시 한림로 일대,https://lh3.googleusercontent.com/p/AF1QipO4S8FS6OxaNXtX0hs6pz3keXSj_5a-PIltC0tw=s1360-w1360-h1020
黎湖小馬燈塔(有海灘),北區,景點  海灘,皆開放,https://alina00.com/ihobeach/,濟州特別自治道濟州市道里路 (梨湖1洞),제주특별자치도 제주시 도리로 (이호일동),https://lh3.googleusercontent.com/p/AF1QipPuQ1ahuxlCnigESZcYp2lghxeJ4dtjJHQwovpy=s1360-w1360-h1020
Miterre Hostel(마이테르유스호스텔),西區,住宿,16:00 入住,https://naver.me/F5FyIBYm,474-29 Aewon-ro  Aewol-eup  Jeju-si  Jeju-do  南韓,제주 제주시 애월읍 애원로 474-29,../Miterre Hostel.png
Jeju Central Park Residence,北區,住宿,15:00 入住（需提前告知）,https://naver.me/Gh8uGZ0b,14 Sindae-ro 12-gil  Jeju-si  Jeju-do  南韓,제주 제주시 신대로12길 14,../Jeju Central Park Residence.png
